id;product_id;product_name;category;quantity;revenue;cost;sold_at
SALE007001;SKU006;Картридж HP 305;Расходники;36;57240;26902.8;2025-10-01 14:30:00+00
SALE007002;SKU007;Бумага А4 500 листов;Канцтовары;77;32340;20050.8;2025-10-01 10:10:00+00
SALE007003;SKU008;Ручки шариковые комплект;Канцтовары;48;10944.0;4492.8;2025-10-01 12:40:00+00
SALE007004;SKU009;SSD 1TB Kingston;Комплектующие;13;84370;57371.6;2025-10-01 15:50:00+00
SALE007005;SKU010;Оперативная память 16GB DDR4;Комплектующие;16;57608.0;38203.2;2025-10-01 09:10:00+00
SALE007006;SKU011;Роутер TP-Link Archer;Сетевое оборудование;21;65635.5;42144.9;2025-10-01 10:10:00+00
SALE007007;SKU012;Коммутатор 8 портов;Сетевое оборудование;10;21900;13140.0;2025-10-01 15:20:00+00
SALE007008;SKU013;Наушники JBL;Электроника;14;41860;23441.6;2025-10-01 20:20:00+00
SALE007009;SKU014;Веб-камера Full HD;Электроника;11;24090;13008.6;2025-10-01 19:10:00+00
SALE007010;SKU015;Коврик для мыши XL;Аксессуары;38;30020;13509.0;2025-10-01 20:40:00+00
SALE007011;SKU001;Беспроводная мышь Logitech;Электроника;31;46190;26790.2;2025-10-02 16:30:00+00
SALE007012;SKU002;Клавиатура механическая Redragon;Электроника;23;91770;50473.5;2025-10-02 11:00:00+00
SALE007013;SKU003;Монитор 24 дюйма Samsung;Электроника;11;142890;102880.8;2025-10-02 11:10:00+00
SALE007014;SKU004;USB-C кабель 1м;Аксессуары;59;23010;9664.2;2025-10-02 13:20:00+00
SALE007015;SKU005;Power Bank 20000 mAh;Аксессуары;104;251191.2;147607.2;2025-10-02 12:10:00+00
SALE007016;SKU006;Картридж HP 305;Расходники;28;44520;20924.4;2025-10-02 18:00:00+00
SALE007017;SKU007;Бумага А4 500 листов;Канцтовары;64;26073.6;16665.6;2025-10-02 13:10:00+00
SALE007018;SKU008;Ручки шариковые комплект;Канцтовары;40;9312.0;3744.0;2025-10-02 13:50:00+00
SALE007019;SKU009;SSD 1TB Kingston;Комплектующие;10;61655.0;44132.0;2025-10-02 15:30:00+00
SALE007020;SKU010;Оперативная память 16GB DDR4;Комплектующие;13;49270;31040.1;2025-10-02 15:40:00+00
SALE007021;SKU011;Роутер TP-Link Archer;Сетевое оборудование;40;131600;80276.0;2025-10-02 16:40:00+00
SALE007022;SKU012;Коммутатор 8 портов;Сетевое оборудование;15;31207.5;19710.0;2025-10-02 11:00:00+00
SALE007023;SKU013;Наушники JBL;Электроника;23;68770;38511.2;2025-10-02 13:40:00+00
SALE007024;SKU014;Веб-камера Full HD;Электроника;12;26280;14191.2;2025-10-02 13:50:00+00
SALE007025;SKU015;Коврик для мыши XL;Аксессуары;24;18960;8532.0;2025-10-02 17:20:00+00
SALE007026;SKU001;Беспроводная мышь Logitech;Электроника;36;52030.8;31111.2;2025-10-03 09:30:00+00
SALE007027;SKU002;Клавиатура механическая Redragon;Электроника;15;55660.5;32917.5;2025-10-03 15:00:00+00
SALE007028;SKU003;Монитор 24 дюйма Samsung;Электроника;23;277856.1;215114.4;2025-10-03 14:40:00+00
SALE007029;SKU004;USB-C кабель 1м;Аксессуары;40;14820.0;6552.0;2025-10-03 17:20:00+00
SALE007030;SKU005;Power Bank 20000 mAh;Аксессуары;22;54780;31224.6;2025-10-03 13:50:00+00
SALE007031;SKU006;Картридж HP 305;Расходники;34;54060;25408.2;2025-10-03 10:10:00+00
SALE007032;SKU007;Бумага А4 500 листов;Канцтовары;31;12108.6;8072.4;2025-10-03 11:10:00+00
SALE007033;SKU008;Ручки шариковые комплект;Канцтовары;53;11829.6;4960.8;2025-10-03 10:50:00+00
SALE007034;SKU009;SSD 1TB Kingston;Комплектующие;12;75543.6;52958.4;2025-10-03 11:10:00+00
SALE007035;SKU010;Оперативная память 16GB DDR4;Комплектующие;8;30320;19101.6;2025-10-03 18:40:00+00
SALE007036;SKU011;Роутер TP-Link Archer;Сетевое оборудование;14;46060;28096.6;2025-10-03 12:50:00+00
SALE007037;SKU012;Коммутатор 8 портов;Сетевое оборудование;14;30660;18396.0;2025-10-03 17:50:00+00
SALE007038;SKU013;Наушники JBL;Электроника;10;29003.0;16744.0;2025-10-03 15:30:00+00
SALE007039;SKU014;Веб-камера Full HD;Электроника;13;27615.9;15373.8;2025-10-03 14:00:00+00
SALE007040;SKU015;Коврик для мыши XL;Аксессуары;14;10728.2;4977.0;2025-10-03 14:30:00+00
SALE007041;SKU001;Беспроводная мышь Logitech;Электроника;23;32556.5;19876.6;2025-10-04 19:20:00+00
SALE007042;SKU002;Клавиатура механическая Redragon;Электроника;21;79600.5;46084.5;2025-10-04 20:30:00+00
SALE007043;SKU004;USB-C кабель 1м;Аксессуары;23;8521.5;3767.4;2025-10-04 10:20:00+00
SALE007044;SKU005;Power Bank 20000 mAh;Аксессуары;29;72210;41159.7;2025-10-04 20:50:00+00
SALE007045;SKU006;Картридж HP 305;Расходники;23;36570;17187.9;2025-10-04 16:20:00+00
SALE007046;SKU007;Бумага А4 500 листов;Канцтовары;49;20580;12759.6;2025-10-04 12:10:00+00
SALE007047;SKU008;Ручки шариковые комплект;Канцтовары;18;4320;1684.8;2025-10-04 11:50:00+00
SALE007048;SKU009;SSD 1TB Kingston;Комплектующие;11;71390;48545.2;2025-10-04 15:00:00+00
SALE007049;SKU010;Оперативная память 16GB DDR4;Комплектующие;18;68220;42978.6;2025-10-04 09:40:00+00
SALE007050;SKU011;Роутер TP-Link Archer;Сетевое оборудование;15;49350;30103.5;2025-10-04 19:50:00+00
SALE007051;SKU012;Коммутатор 8 портов;Сетевое оборудование;7;14256.9;9198.0;2025-10-04 14:30:00+00
SALE007052;SKU013;Наушники JBL;Электроника;15;43504.5;25116.0;2025-10-04 15:10:00+00
SALE007053;SKU014;Веб-камера Full HD;Электроника;10;20805.0;11826.0;2025-10-04 12:40:00+00
SALE007054;SKU015;Коврик для мыши XL;Аксессуары;18;13793.4;6399.0;2025-10-04 17:00:00+00
SALE007055;SKU001;Беспроводная мышь Logitech;Электроника;13;18788.9;11234.6;2025-10-05 10:10:00+00
SALE007056;SKU002;Клавиатура механическая Redragon;Электроника;23;87181.5;50473.5;2025-10-05 19:20:00+00
SALE007057;SKU003;Монитор 24 дюйма Samsung;Электроника;13;168870;121586.4;2025-10-05 10:20:00+00
SALE007058;SKU004;USB-C кабель 1м;Аксессуары;30;11700;4914.0;2025-10-05 12:20:00+00
SALE007059;SKU005;Power Bank 20000 mAh;Аксессуары;20;49800;28386.0;2025-10-05 13:00:00+00
SALE007060;SKU006;Картридж HP 305;Расходники;28;44520;20924.4;2025-10-05 15:10:00+00
SALE007061;SKU007;Бумага А4 500 листов;Канцтовары;53;22260;13801.2;2025-10-05 15:40:00+00
SALE007062;SKU008;Ручки шариковые комплект;Канцтовары;36;8208.0;3369.6;2025-10-05 17:20:00+00
SALE007063;SKU009;SSD 1TB Kingston;Комплектующие;14;86317.0;61784.8;2025-10-05 12:40:00+00
SALE007064;SKU010;Оперативная память 16GB DDR4;Комплектующие;9;31722.3;21489.3;2025-10-05 09:20:00+00
SALE007065;SKU011;Роутер TP-Link Archer;Сетевое оборудование;17;52014.9;34117.3;2025-10-05 17:00:00+00
SALE007066;SKU012;Коммутатор 8 портов;Сетевое оборудование;6;13140;7884.0;2025-10-05 10:50:00+00
SALE007067;SKU013;Наушники JBL;Электроника;8;23920;13395.2;2025-10-05 20:20:00+00
SALE007068;SKU014;Веб-камера Full HD;Электроника;13;27046.5;15373.8;2025-10-05 19:40:00+00
SALE007069;SKU015;Коврик для мыши XL;Аксессуары;13;10270;4621.5;2025-10-05 09:00:00+00
SALE007070;SKU001;Беспроводная мышь Logitech;Электроника;43;60866.5;37160.6;2025-10-06 12:10:00+00
SALE007071;SKU002;Клавиатура механическая Redragon;Электроника;17;67830;37306.5;2025-10-06 09:30:00+00
SALE007072;SKU003;Монитор 24 дюйма Samsung;Электроника;10;120807.0;93528.0;2025-10-06 13:30:00+00
