id;product_id;product_name;category;quantity;revenue;cost;sold_at
SALE004001;SKU011;Роутер TP-Link Archer;Сетевое оборудование;9;28129.5;18062.1;2025-03-08 15:50:00+00
SALE004002;SKU012;Коммутатор 8 портов;Сетевое оборудование;9;19118.7;11826.0;2025-03-08 18:00:00+00
SALE004003;SKU013;Наушники JBL;Электроника;6;17940;10046.4;2025-03-08 19:00:00+00
SALE004004;SKU014;Веб-камера Full HD;Электроника;6;12745.8;7095.6;2025-03-08 19:30:00+00
SALE004005;SKU015;Коврик для мыши XL;Аксессуары;21;16092.3;7465.5;2025-03-08 11:00:00+00
SALE004006;SKU001;Беспроводная мышь Logitech;Электроника;18;26820;15555.6;2025-03-09 19:10:00+00
SALE004007;SKU002;Клавиатура механическая Redragon;Электроника;16;59371.2;35112.0;2025-03-09 18:10:00+00
SALE004008;SKU004;USB-C кабель 1м;Аксессуары;20;7410.0;3276.0;2025-03-09 11:10:00+00
SALE004009;SKU005;Power Bank 20000 mAh;Аксессуары;14;34860;19870.2;2025-03-09 14:20:00+00
SALE004010;SKU006;Картридж HP 305;Расходники;24;36252.0;17935.2;2025-03-09 16:10:00+00
SALE004011;SKU007;Бумага А4 500 листов;Канцтовары;27;11340;7030.8;2025-03-09 11:30:00+00
SALE004012;SKU008;Ручки шариковые комплект;Канцтовары;35;8400;3276.0;2025-03-09 17:40:00+00
SALE004013;SKU009;SSD 1TB Kingston;Комплектующие;7;42249.9;30892.4;2025-03-09 09:50:00+00
SALE004014;SKU010;Оперативная память 16GB DDR4;Комплектующие;7;26530;16713.9;2025-03-09 20:50:00+00
SALE004015;SKU011;Роутер TP-Link Archer;Сетевое оборудование;5;15627.5;10034.5;2025-03-09 16:50:00+00
SALE004016;SKU012;Коммутатор 8 портов;Сетевое оборудование;6;13140;7884.0;2025-03-09 09:30:00+00
SALE004017;SKU013;Наушники JBL;Электроника;8;23202.4;13395.2;2025-03-09 10:10:00+00
SALE004018;SKU014;Веб-камера Full HD;Электроника;11;24090;13008.6;2025-03-09 17:20:00+00
SALE004019;SKU015;Коврик для мыши XL;Аксессуары;15;11850;5332.5;2025-03-09 15:50:00+00
SALE004020;SKU001;Беспроводная мышь Logitech;Электроника;49;73010;42345.8;2025-03-10 10:30:00+00
SALE004021;SKU002;Клавиатура механическая Redragon;Электроника;14;54184.2;30723.0;2025-03-10 09:20:00+00
SALE004022;SKU004;USB-C кабель 1м;Аксессуары;34;12862.2;5569.2;2025-03-10 15:20:00+00
SALE004023;SKU005;Power Bank 20000 mAh;Аксессуары;16;39840;22708.8;2025-03-10 11:20:00+00
SALE004024;SKU006;Картридж HP 305;Расходники;17;27030;12704.1;2025-03-10 19:50:00+00
SALE004025;SKU007;Бумага А4 500 листов;Канцтовары;38;15162.0;9895.2;2025-03-10 17:50:00+00
SALE004026;SKU008;Ручки шариковые комплект;Канцтовары;31;7440;2901.6;2025-03-10 20:40:00+00
SALE004027;SKU009;SSD 1TB Kingston;Комплектующие;16;100724.8;70611.2;2025-03-10 19:00:00+00
SALE004028;SKU010;Оперативная память 16GB DDR4;Комплектующие;16;60640;38203.2;2025-03-10 13:10:00+00
SALE004029;SKU011;Роутер TP-Link Archer;Сетевое оборудование;13;42770;26089.7;2025-03-10 15:00:00+00
SALE004030;SKU012;Коммутатор 8 портов;Сетевое оборудование;11;24090;14454.0;2025-03-10 18:00:00+00
SALE004031;SKU013;Наушники JBL;Электроника;7;20930;11720.8;2025-03-10 20:10:00+00
SALE004032;SKU014;Веб-камера Full HD;Электроника;9;18330.3;10643.4;2025-03-10 19:10:00+00
SALE004033;SKU015;Коврик для мыши XL;Аксессуары;37;27768.5;13153.5;2025-03-10 16:20:00+00
SALE004034;SKU001;Беспроводная мышь Logitech;Электроника;28;38799.6;24197.6;2025-03-11 19:20:00+00
SALE004035;SKU002;Клавиатура механическая Redragon;Электроника;19;73535.7;41695.5;2025-03-11 20:20:00+00
SALE004036;SKU003;Монитор 24 дюйма Samsung;Электроника;3;36242.1;28058.4;2025-03-11 19:40:00+00
SALE004037;SKU004;USB-C кабель 1м;Аксессуары;59;23010;9664.2;2025-03-11 10:20:00+00
SALE004038;SKU005;Power Bank 20000 mAh;Аксессуары;23;53261.1;32643.9;2025-03-11 14:00:00+00
SALE004039;SKU006;Картридж HP 305;Расходники;34;52438.2;25408.2;2025-03-11 17:00:00+00
SALE004040;SKU007;Бумага А4 500 листов;Канцтовары;45;18333.0;11718.0;2025-03-11 13:40:00+00
SALE004041;SKU008;Ручки шариковые комплект;Канцтовары;49;11172.0;4586.4;2025-03-11 10:20:00+00
SALE004042;SKU010;Оперативная память 16GB DDR4;Комплектующие;15;56850;35815.5;2025-03-11 20:00:00+00
SALE004043;SKU011;Роутер TP-Link Archer;Сетевое оборудование;18;56259.0;36124.2;2025-03-11 15:10:00+00
SALE004044;SKU012;Коммутатор 8 портов;Сетевое оборудование;8;17520;10512.0;2025-03-11 16:50:00+00
SALE004045;SKU013;Наушники JBL;Электроника;16;44491.2;26790.4;2025-03-11 17:20:00+00
SALE004046;SKU014;Веб-камера Full HD;Электроника;12;24966.0;14191.2;2025-03-11 18:40:00+00
SALE004047;SKU015;Коврик для мыши XL;Аксессуары;32;25280;11376.0;2025-03-11 18:30:00+00
SALE004048;SKU001;Беспроводная мышь Logitech;Электроника;16;22171.2;13827.2;2025-03-12 16:50:00+00
SALE004049;SKU002;Клавиатура механическая Redragon;Электроника;21;83790;46084.5;2025-03-12 11:10:00+00
SALE004050;SKU003;Монитор 24 дюйма Samsung;Электроника;8;100802.4;74822.4;2025-03-12 19:10:00+00
SALE004051;SKU004;USB-C кабель 1м;Аксессуары;18;6809.4;2948.4;2025-03-12 17:00:00+00
SALE004052;SKU005;Power Bank 20000 mAh;Аксессуары;21;52290;29805.3;2025-03-12 16:50:00+00
SALE004053;SKU006;Картридж HP 305;Расходники;18;28620;13451.4;2025-03-12 18:10:00+00
SALE004054;SKU007;Бумага А4 500 листов;Канцтовары;58;23629.2;15103.2;2025-03-12 11:00:00+00
SALE004055;SKU008;Ручки шариковые комплект;Канцтовары;35;8400;3276.0;2025-03-12 14:10:00+00
SALE004056;SKU009;SSD 1TB Kingston;Комплектующие;20;125906.0;88264.0;2025-03-12 18:40:00+00
SALE004057;SKU010;Оперативная память 16GB DDR4;Комплектующие;11;40439.3;26264.7;2025-03-12 14:20:00+00
SALE004058;SKU011;Роутер TP-Link Archer;Сетевое оборудование;10;32900;20069.0;2025-03-12 10:10:00+00
SALE004059;SKU012;Коммутатор 8 портов;Сетевое оборудование;11;22885.5;14454.0;2025-03-12 20:10:00+00
SALE004060;SKU013;Наушники JBL;Электроника;25;71012.5;41860.0;2025-03-12 15:10:00+00
SALE004061;SKU014;Веб-камера Full HD;Электроника;14;30660;16556.4;2025-03-12 15:10:00+00
SALE004062;SKU015;Коврик для мыши XL;Аксессуары;23;18170;8176.5;2025-03-12 17:20:00+00
SALE004063;SKU001;Беспроводная мышь Logitech;Электроника;34;49140.2;29382.8;2025-03-13 10:00:00+00
SALE004064;SKU002;Клавиатура механическая Redragon;Электроника;17;67830;37306.5;2025-03-13 20:10:00+00
SALE004065;SKU003;Монитор 24 дюйма Samsung;Электроника;8;100802.4;74822.4;2025-03-13 14:40:00+00
SALE004066;SKU004;USB-C кабель 1м;Аксессуары;41;15990;6715.8;2025-03-13 20:10:00+00
SALE004067;SKU005;Power Bank 20000 mAh;Аксессуары;19;43998.3;26966.7;2025-03-13 11:50:00+00
SALE004068;SKU006;Картридж HP 305;Расходники;21;33390;15693.3;2025-03-13 13:30:00+00
SALE004069;SKU007;Бумага А4 500 листов;Канцтовары;97;40740;25258.8;2025-03-13 19:00:00+00
SALE004070;SKU008;Ручки шариковые комплект;Канцтовары;30;7200;2808.0;2025-03-13 17:30:00+00
SALE004071;SKU009;SSD 1TB Kingston;Комплектующие;11;71390;48545.2;2025-03-13 18:40:00+00
SALE004072;SKU010;Оперативная память 16GB DDR4;Комплектующие;16;58820.8;38203.2;2025-03-13 14:50:00+00
SALE004073;SKU011;Роутер TP-Link Archer;Сетевое оборудование;26;79552.2;52179.4;2025-03-13 17:50:00+00
SALE004074;SKU012;Коммутатор 8 портов;Сетевое оборудование;13;28470;17082.0;2025-03-13 18:20:00+00
SALE004075;SKU013;Наушники JBL;Электроника;8;22724.0;13395.2;2025-03-13 11:50:00+00
SALE004076;SKU014;Веб-камера Full HD;Электроника;9;19710;10643.4;2025-03-13 10:50:00+00
SALE004077;SKU015;Коврик для мыши XL;Аксессуары;11;8429.3;3910.5;2025-03-13 10:50:00+00
SALE004078;SKU001;Беспроводная мышь Logitech;Электроника;29;43210;25061.8;2025-03-14 12:30:00+00
SALE004079;SKU002;Клавиатура механическая Redragon;Электроника;28;103899.6;61446.0;2025-03-14 16:40:00+00
SALE004080;SKU003;Монитор 24 дюйма Samsung;Электроника;8;103920;74822.4;2025-03-14 11:30:00+00
SALE004081;SKU004;USB-C кабель 1м;Аксессуары;40;15600;6552.0;2025-03-14 17:30:00+00
SALE004082;SKU005;Power Bank 20000 mAh;Аксессуары;19;47310;26966.7;2025-03-14 20:00:00+00
SALE004083;SKU006;Картридж HP 305;Расходники;24;38160;17935.2;2025-03-14 19:50:00+00
SALE004084;SKU007;Бумага А4 500 листов;Канцтовары;68;28560;17707.2;2025-03-14 12:50:00+00
SALE004085;SKU008;Ручки шариковые комплект;Канцтовары;61;14640;5709.6;2025-03-14 14:40:00+00
SALE004086;SKU009;SSD 1TB Kingston;Комплектующие;10;62953.0;44132.0;2025-03-14 12:50:00+00
SALE004087;SKU010;Оперативная память 16GB DDR4;Комплектующие;15;55144.5;35815.5;2025-03-14 09:20:00+00
SALE004088;SKU011;Роутер TP-Link Archer;Сетевое оборудование;26;79552.2;52179.4;2025-03-14 11:20:00+00
SALE004089;SKU012;Коммутатор 8 портов;Сетевое оборудование;7;14256.9;9198.0;2025-03-14 12:40:00+00
SALE004090;SKU013;Наушники JBL;Электроника;11;31245.5;18418.4;2025-03-14 17:00:00+00
SALE004091;SKU014;Веб-камера Full HD;Электроника;10;20367.0;11826.0;2025-03-14 16:10:00+00
SALE004092;SKU015;Коврик для мыши XL;Аксессуары;22;17380;7821.0;2025-03-14 15:40:00+00
SALE004093;SKU001;Беспроводная мышь Logitech;Электроника;15;20785.5;12963.0;2025-03-15 12:10:00+00
SALE004094;SKU002;Клавиатура механическая Redragon;Электроника;8;29685.6;17556.0;2025-03-15 11:20:00+00
SALE004095;SKU003;Монитор 24 дюйма Samsung;Электроника;5;63001.5;46764.0;2025-03-15 11:10:00+00
SALE004096;SKU004;USB-C кабель 1м;Аксессуары;38;14079.0;6224.4;2025-03-15 19:20:00+00
SALE004097;SKU005;Power Bank 20000 mAh;Аксессуары;15;35482.5;21289.5;2025-03-15 14:10:00+00
SALE004098;SKU006;Картридж HP 305;Расходники;24;36252.0;17935.2;2025-03-15 17:00:00+00
SALE004099;SKU007;Бумага А4 500 листов;Канцтовары;30;12222.0;7812.0;2025-03-15 11:40:00+00
SALE004100;SKU008;Ручки шариковые комплект;Канцтовары;24;5760;2246.4;2025-03-15 14:40:00+00
SALE004101;SKU010;Оперативная память 16GB DDR4;Комплектующие;7;26530;16713.9;2025-03-15 19:50:00+00
SALE004102;SKU011;Роутер TP-Link Archer;Сетевое оборудование;11;36190;22075.9;2025-03-15 14:30:00+00
SALE004103;SKU012;Коммутатор 8 портов;Сетевое оборудование;3;6110.1;3942.0;2025-03-15 13:20:00+00
SALE004104;SKU013;Наушники JBL;Электроника;16;45448.0;26790.4;2025-03-15 14:20:00+00
SALE004105;SKU014;Веб-камера Full HD;Электроника;5;10950;5913.0;2025-03-15 18:50:00+00
SALE004106;SKU015;Коврик для мыши XL;Аксессуары;23;18170;8176.5;2025-03-15 13:00:00+00
SALE004107;SKU001;Беспроводная мышь Logitech;Электроника;21;29099.7;18148.2;2025-03-16 14:10:00+00
SALE004108;SKU002;Клавиатура механическая Redragon;Электроника;10;37905.0;21945.0;2025-03-16 11:00:00+00
SALE004109;SKU003;Монитор 24 дюйма Samsung;Электроника;5;64950;46764.0;2025-03-16 16:20:00+00
SALE004110;SKU004;USB-C кабель 1м;Аксессуары;36;14040;5896.8;2025-03-16 09:50:00+00
SALE004111;SKU005;Power Bank 20000 mAh;Аксессуары;10;24900;14193.0;2025-03-16 17:50:00+00
SALE004112;SKU006;Картридж HP 305;Расходники;19;30210;14198.7;2025-03-16 20:20:00+00
SALE004113;SKU007;Бумага А4 500 листов;Канцтовары;51;21420;13280.4;2025-03-16 13:00:00+00
SALE004114;SKU008;Ручки шариковые комплект;Канцтовары;35;8148.0;3276.0;2025-03-16 12:20:00+00
SALE004115;SKU009;SSD 1TB Kingston;Комплектующие;13;80151.5;57371.6;2025-03-16 09:20:00+00
